method,display_name,planted_source_index,estimated_component_index,signed_r,abs_r,sign_flip,source_vertex,source_hemi,source_label,selection_score,selected_for_panel_d
picard,Picard,2,4,-0.9983489037085104,0.9983489037085104,True,1492,rh,lateraloccipital-rh,,False
picard,Picard,3,10,-0.9907039498762336,0.9907039498762336,True,106880,lh,entorhinal-lh,,False
picard,Picard,4,14,0.9926769384067772,0.9926769384067772,False,48795,lh,posteriorcingulate-lh,,False
picard,Picard,5,7,0.9949635102850755,0.9949635102850755,False,53054,rh,posteriorcingulate-rh,,False
picard,Picard,6,29,-0.9952484735338941,0.9952484735338941,True,29946,lh,supramarginal-lh,,False
picard,Picard,7,9,0.9974475555887138,0.9974475555887138,False,79918,lh,caudalmiddlefrontal-lh,,False
picard,Picard,8,19,0.9885611895846702,0.9885611895846702,False,2281,rh,pericalcarine-rh,,False
picard,Picard,9,27,-0.9974642583721255,0.9974642583721255,True,841,lh,superiorparietal-lh,,False
picard,Picard,10,5,-0.9971513188097981,0.9971513188097981,True,30467,lh,middletemporal-lh,,False
picard,Picard,11,13,0.9900716977428999,0.9900716977428999,False,152907,lh,frontalpole-lh,,False
picard,Picard,12,22,0.9964264253990651,0.9964264253990651,False,36823,lh,inferiortemporal-lh,,False
picard,Picard,13,2,0.9967911543785154,0.9967911543785154,False,95728,lh,caudalanteriorcingulate-lh,,False
picard,Picard,14,11,0.9988019042072777,0.9988019042072777,False,19789,lh,postcentral-lh,,False
picard,Picard,15,30,-0.9960947806016109,0.9960947806016109,True,107405,lh,parsopercularis-lh,,False
picard,Picard,16,24,-0.9962476795868362,0.9962476795868362,True,38908,lh,isthmuscingulate-lh,,False
picard,Picard,17,21,0.9994675221199092,0.9994675221199092,False,4773,rh,precuneus-rh,,False
picard,Picard,18,0,-0.9788103998025033,0.9788103998025033,True,154179,rh,frontalpole-rh,0.9820881081865381,True
picard,Picard,19,26,0.9762989486700687,0.9762989486700687,False,121283,lh,temporalpole-lh,0.9789897018396234,True
picard,Picard,20,25,-0.9967628426286487,0.9967628426286487,True,105454,rh,rostralmiddlefrontal-rh,,False
picard,Picard,21,28,0.9964261152354859,0.9964261152354859,False,66616,rh,parahippocampal-rh,,False
picard,Picard,22,20,0.9918816825201826,0.9918816825201826,False,64096,lh,insula-lh,,False
picard,Picard,23,15,0.9862953259382496,0.9862953259382496,False,64498,lh,parahippocampal-lh,0.986623157963923,True
picard,Picard,24,16,-0.9912702933927351,0.9912702933927351,True,100052,rh,caudalanteriorcingulate-rh,,False
picard,Picard,25,3,0.9991691864900623,0.9991691864900623,False,55756,rh,bankssts-rh,,False
picard,Picard,26,1,-0.9983410194352544,0.9983410194352544,True,109649,lh,medialorbitofrontal-lh,,False
picard,Picard,27,23,0.9941669923877299,0.9941669923877299,False,42874,rh,supramarginal-rh,,False
picard,Picard,28,12,-0.988928917596293,0.988928917596293,True,123078,lh,lateralorbitofrontal-lh,,False
picard,Picard,29,8,0.997952508486134,0.997952508486134,False,33499,rh,inferiortemporal-rh,,False
picard,Picard,30,17,-0.9938982008555935,0.9938982008555935,True,10118,rh,lingual-rh,,False
picard,Picard,31,6,0.9895457946337415,0.9895457946337415,False,2380,lh,pericalcarine-lh,,False
extended_infomax,Ext. Infomax,0,9,-0.9977714730817914,0.9977714730817914,True,66297,rh,insula-rh,,False
extended_infomax,Ext. Infomax,1,7,-0.997748748996868,0.997748748996868,True,68980,rh,transversetemporal-rh,,False
extended_infomax,Ext. Infomax,2,2,-0.9983741310587904,0.9983741310587904,True,1492,rh,lateraloccipital-rh,,False
extended_infomax,Ext. Infomax,3,18,0.9908095578793475,0.9908095578793475,False,106880,lh,entorhinal-lh,,False
extended_infomax,Ext. Infomax,4,15,0.9925420158956044,0.9925420158956044,False,48795,lh,posteriorcingulate-lh,,False
extended_infomax,Ext. Infomax,5,24,-0.9950427915034067,0.9950427915034067,True,53054,rh,posteriorcingulate-rh,,False
extended_infomax,Ext. Infomax,6,16,0.9953078828616665,0.9953078828616665,False,29946,lh,supramarginal-lh,,False
extended_infomax,Ext. Infomax,7,13,-0.9974149422916522,0.9974149422916522,True,79918,lh,caudalmiddlefrontal-lh,,False
extended_infomax,Ext. Infomax,8,19,-0.9884683302021297,0.9884683302021297,True,2281,rh,pericalcarine-rh,,False
extended_infomax,Ext. Infomax,9,22,0.9974179039541821,0.9974179039541821,False,841,lh,superiorparietal-lh,,False
extended_infomax,Ext. Infomax,10,20,0.9970154047732901,0.9970154047732901,False,30467,lh,middletemporal-lh,,False
extended_infomax,Ext. Infomax,11,17,-0.9901008318485127,0.9901008318485127,True,152907,lh,frontalpole-lh,,False
extended_infomax,Ext. Infomax,12,26,0.9965636748951131,0.9965636748951131,False,36823,lh,inferiortemporal-lh,,False
extended_infomax,Ext. Infomax,13,3,-0.9967839888080938,0.9967839888080938,True,95728,lh,caudalanteriorcingulate-lh,,False
extended_infomax,Ext. Infomax,14,10,-0.9987733174673247,0.9987733174673247,True,19789,lh,postcentral-lh,,False
extended_infomax,Ext. Infomax,15,28,-0.9959728232630425,0.9959728232630425,True,107405,lh,parsopercularis-lh,,False
extended_infomax,Ext. Infomax,16,25,0.9960835496519259,0.9960835496519259,False,38908,lh,isthmuscingulate-lh,,False
extended_infomax,Ext. Infomax,17,30,0.9994876208539232,0.9994876208539232,False,4773,rh,precuneus-rh,,False
extended_infomax,Ext. Infomax,18,23,-0.9785875197422665,0.9785875197422665,True,154179,rh,frontalpole-rh,0.9820881081865381,True
extended_infomax,Ext. Infomax,19,4,-0.9767117007679873,0.9767117007679873,True,121283,lh,temporalpole-lh,0.9789897018396234,True
extended_infomax,Ext. Infomax,20,12,-0.9965845208746,0.9965845208746,True,105454,rh,rostralmiddlefrontal-rh,,False
extended_infomax,Ext. Infomax,21,21,0.996313240796052,0.996313240796052,False,66616,rh,parahippocampal-rh,,False
extended_infomax,Ext. Infomax,22,1,-0.9919384717222773,0.9919384717222773,True,64096,lh,insula-lh,,False
extended_infomax,Ext. Infomax,23,0,-0.9863362008137974,0.9863362008137974,True,64498,lh,parahippocampal-lh,0.986623157963923,True
extended_infomax,Ext. Infomax,24,31,0.9912243310513633,0.9912243310513633,False,100052,rh,caudalanteriorcingulate-rh,,False
extended_infomax,Ext. Infomax,25,11,-0.9991895530303126,0.9991895530303126,True,55756,rh,bankssts-rh,,False
extended_infomax,Ext. Infomax,26,27,-0.9983715085484711,0.9983715085484711,True,109649,lh,medialorbitofrontal-lh,,False
extended_infomax,Ext. Infomax,27,29,-0.9941429908912973,0.9941429908912973,True,42874,rh,supramarginal-rh,,False
extended_infomax,Ext. Infomax,28,6,0.9890776879458366,0.9890776879458366,False,123078,lh,lateralorbitofrontal-lh,,False
extended_infomax,Ext. Infomax,29,5,-0.9978907236372517,0.9978907236372517,True,33499,rh,inferiortemporal-rh,,False
extended_infomax,Ext. Infomax,30,14,0.9939301216247665,0.9939301216247665,False,10118,rh,lingual-rh,,False
extended_infomax,Ext. Infomax,31,8,-0.9895528287552152,0.9895528287552152,True,2380,lh,pericalcarine-lh,,False
fastica,FastICA,0,9,-0.9977392349920171,0.9977392349920171,True,66297,rh,insula-rh,,False
fastica,FastICA,1,7,-0.9977234933126394,0.9977234933126394,True,68980,rh,transversetemporal-rh,,False
fastica,FastICA,2,2,-0.998288106274332,0.998288106274332,True,1492,rh,lateraloccipital-rh,,False
fastica,FastICA,3,18,0.9915518601028736,0.9915518601028736,False,106880,lh,entorhinal-lh,,False
fastica,FastICA,4,15,0.9923593214704073,0.9923593214704073,False,48795,lh,posteriorcingulate-lh,,False
fastica,FastICA,5,24,-0.9950059439438235,0.9950059439438235,True,53054,rh,posteriorcingulate-rh,,False
fastica,FastICA,6,16,0.995589056516855,0.995589056516855,False,29946,lh,supramarginal-lh,,False
fastica,FastICA,7,13,-0.9973315095424007,0.9973315095424007,True,79918,lh,caudalmiddlefrontal-lh,,False
fastica,FastICA,8,19,-0.9893526712212397,0.9893526712212397,True,2281,rh,pericalcarine-rh,,False
fastica,FastICA,9,22,0.9975570273117996,0.9975570273117996,False,841,lh,superiorparietal-lh,,False
