dataset,subject,num_models,fit_seed,surrogate,surrogate_seed
ds004505,5,2,2,phase,100005
ds004505,5,3,0,none,0
ds004505,5,3,0,phase,100005
ds004505,5,3,1,none,0
ds004505,5,3,1,phase,100005
ds004505,5,3,2,none,0
ds004505,5,3,2,phase,100005
ds004505,5,4,0,none,0
ds004505,5,4,0,phase,100005
ds004505,5,4,1,none,0
ds004505,5,4,1,phase,100005
ds004505,5,4,2,none,0
ds004505,5,4,2,phase,100005
ds004505,5,5,0,none,0
ds004505,5,5,0,phase,100005
ds004505,5,5,1,none,0
ds004505,5,5,1,phase,100005
ds004505,5,5,2,none,0
ds004505,5,5,2,phase,100005
ds004505,5,6,0,none,0
ds004505,5,6,0,phase,100005
ds004505,5,6,1,none,0
ds004505,5,6,1,phase,100005
ds004505,5,6,2,none,0
ds004505,5,6,2,phase,100005
ds004505,5,7,0,none,0
ds004505,5,7,0,phase,100005
ds004505,5,7,1,none,0
ds004505,5,7,1,phase,100005
ds004505,5,7,2,none,0
ds004505,5,7,2,phase,100005
ds004505,5,8,0,none,0
ds004505,5,8,0,phase,100005
ds004505,5,8,1,none,0
ds004505,5,8,1,phase,100005
ds004505,5,8,2,none,0
ds004505,5,8,2,phase,100005
ds004505,5,9,0,none,0
ds004505,5,9,0,phase,100005
ds004505,5,9,1,none,0
ds004505,5,9,1,phase,100005
ds004505,5,9,2,none,0
ds004505,5,9,2,phase,100005
ds004505,5,10,0,none,0
ds004505,5,10,0,phase,100005
ds004505,5,10,1,none,0
ds004505,5,10,1,phase,100005
ds004505,5,10,2,none,0
ds004505,5,10,2,phase,100005
ds004505,6,1,0,none,0
ds004505,6,1,0,phase,100006
ds004505,6,1,1,none,0
ds004505,6,1,1,phase,100006
ds004505,6,1,2,none,0
ds004505,6,1,2,phase,100006
ds004505,6,2,0,none,0
ds004505,6,2,0,phase,100006
ds004505,6,2,1,none,0
ds004505,6,2,1,phase,100006
ds004505,6,2,2,none,0
ds004505,6,2,2,phase,100006
ds004505,6,3,0,none,0
ds004505,6,3,0,phase,100006
ds004505,6,3,1,none,0
ds004505,6,3,1,phase,100006
ds004505,6,3,2,none,0
ds004505,6,3,2,phase,100006
ds004505,6,4,0,none,0
ds004505,6,4,0,phase,100006
ds004505,6,4,1,none,0
ds004505,6,4,1,phase,100006
ds004505,6,4,2,none,0
ds004505,6,4,2,phase,100006
ds004505,6,5,0,none,0
ds004505,6,5,0,phase,100006
ds004505,6,5,1,none,0
ds004505,6,5,1,phase,100006
ds004505,6,5,2,none,0
ds004505,6,5,2,phase,100006
ds004505,6,6,0,none,0
ds004505,6,6,0,phase,100006
ds004505,6,6,1,none,0
ds004505,6,6,1,phase,100006
ds004505,6,6,2,none,0
ds004505,6,6,2,phase,100006
ds004505,6,7,0,none,0
ds004505,6,7,0,phase,100006
ds004505,6,7,1,none,0
ds004505,6,7,1,phase,100006
ds004505,6,7,2,none,0
ds004505,6,7,2,phase,100006
ds004505,6,8,0,none,0
ds004505,6,8,0,phase,100006
ds004505,6,8,1,none,0
ds004505,6,8,1,phase,100006
ds004505,6,8,2,none,0
ds004505,6,8,2,phase,100006
ds004505,6,9,0,none,0
ds004505,6,9,0,phase,100006
ds004505,6,9,1,none,0
ds004505,6,9,1,phase,100006
ds004505,6,9,2,none,0
ds004505,6,9,2,phase,100006
ds004505,6,10,0,none,0
ds004505,6,10,0,phase,100006
ds004505,6,10,1,none,0
ds004505,6,10,1,phase,100006
ds004505,6,10,2,none,0
ds004505,6,10,2,phase,100006
ds004505,7,1,0,none,0
ds004505,7,1,0,phase,100007
ds004505,7,1,1,none,0
ds004505,7,1,1,phase,100007
ds004505,7,1,2,none,0
ds004505,7,1,2,phase,100007
ds004505,7,2,0,none,0
ds004505,7,2,0,phase,100007
ds004505,7,2,1,none,0
ds004505,7,2,1,phase,100007
ds004505,7,2,2,none,0
ds004505,7,2,2,phase,100007
ds004505,7,3,0,none,0
ds004505,7,3,0,phase,100007
ds004505,7,3,1,none,0
ds004505,7,3,1,phase,100007
ds004505,7,3,2,none,0
ds004505,7,3,2,phase,100007
ds004505,7,4,0,none,0
ds004505,7,4,0,phase,100007
ds004505,7,4,1,none,0
ds004505,7,4,1,phase,100007
ds004505,7,4,2,none,0
ds004505,7,4,2,phase,100007
ds004505,7,5,0,none,0
ds004505,7,5,0,phase,100007
ds004505,7,5,1,none,0
ds004505,7,5,1,phase,100007
ds004505,7,5,2,none,0
ds004505,7,5,2,phase,100007
ds004505,7,6,0,none,0
ds004505,7,6,0,phase,100007
ds004505,7,6,1,none,0
ds004505,7,6,1,phase,100007
ds004505,7,6,2,none,0
ds004505,7,6,2,phase,100007
ds004505,7,7,0,none,0
ds004505,7,7,0,phase,100007
ds004505,7,7,1,none,0
ds004505,7,7,1,phase,100007
ds004505,7,7,2,none,0
ds004505,7,7,2,phase,100007
ds004505,7,8,0,none,0
ds004505,7,8,0,phase,100007
ds004505,7,8,1,none,0
ds004505,7,8,1,phase,100007
ds004505,7,8,2,none,0
ds004505,7,8,2,phase,100007
ds004505,7,9,0,none,0
ds004505,7,9,0,phase,100007
ds004505,7,9,1,none,0
ds004505,7,9,1,phase,100007
ds004505,7,9,2,none,0
ds004505,7,9,2,phase,100007
ds004505,7,10,0,none,0
ds004505,7,10,0,phase,100007
ds004505,7,10,1,none,0
ds004505,7,10,1,phase,100007
ds004505,7,10,2,none,0
ds004505,7,10,2,phase,100007
ds004505,8,1,0,none,0
ds004505,8,1,0,phase,100008
ds004505,8,1,1,none,0
ds004505,8,1,1,phase,100008
ds004505,8,1,2,none,0
ds004505,8,1,2,phase,100008
ds004505,8,2,0,none,0
ds004505,8,2,0,phase,100008
ds004505,8,2,1,none,0
ds004505,8,2,1,phase,100008
ds004505,8,2,2,none,0
ds004505,8,2,2,phase,100008
ds004505,8,3,0,none,0
ds004505,8,3,0,phase,100008
ds004505,8,3,1,none,0
ds004505,8,3,1,phase,100008
ds004505,8,3,2,none,0
ds004505,8,3,2,phase,100008
ds004505,8,4,0,none,0
ds004505,8,4,0,phase,100008
ds004505,8,4,1,none,0
ds004505,8,4,1,phase,100008
ds004505,8,4,2,none,0
ds004505,8,4,2,phase,100008
ds004505,8,5,0,none,0
ds004505,8,5,0,phase,100008
ds004505,8,5,1,none,0
ds004505,8,5,1,phase,100008
ds004505,8,5,2,none,0
ds004505,8,5,2,phase,100008
ds004505,8,6,0,none,0
ds004505,8,6,0,phase,100008
ds004505,8,6,1,none,0
ds004505,8,6,1,phase,100008
ds004505,8,6,2,none,0
ds004505,8,6,2,phase,100008
ds004505,8,7,0,none,0
ds004505,8,7,0,phase,100008
ds004505,8,7,1,none,0
ds004505,8,7,1,phase,100008
ds004505,8,7,2,none,0
ds004505,8,7,2,phase,100008
ds004505,8,8,0,none,0
ds004505,8,8,0,phase,100008
ds004505,8,8,1,none,0
ds004505,8,8,1,phase,100008
ds004505,8,8,2,none,0
ds004505,8,8,2,phase,100008
ds004505,8,9,0,none,0
ds004505,8,9,0,phase,100008
ds004505,8,9,1,none,0
ds004505,8,9,1,phase,100008
ds004505,8,9,2,none,0
ds004505,8,9,2,phase,100008
ds004505,8,10,0,none,0
ds004505,8,10,0,phase,100008
ds004505,8,10,1,none,0
ds004505,8,10,1,phase,100008
ds004505,8,10,2,none,0
ds004505,8,10,2,phase,100008
ds004505,9,1,0,none,0
ds004505,9,1,0,phase,100009
ds004505,9,1,1,none,0
ds004505,9,1,1,phase,100009
ds004505,9,1,2,none,0
ds004505,9,1,2,phase,100009
ds004505,9,2,0,none,0
ds004505,9,2,0,phase,100009
ds004505,9,2,1,none,0
ds004505,9,2,1,phase,100009
ds004505,9,2,2,none,0
ds004505,9,2,2,phase,100009
ds004505,9,3,0,none,0
ds004505,9,3,0,phase,100009
ds004505,9,3,1,none,0
ds004505,9,3,1,phase,100009
ds004505,9,3,2,none,0
ds004505,9,3,2,phase,100009
ds004505,9,4,0,none,0
ds004505,9,4,0,phase,100009
ds004505,9,4,1,none,0
ds004505,9,4,1,phase,100009
ds004505,9,4,2,none,0
ds004505,9,4,2,phase,100009
ds004505,9,5,0,none,0
ds004505,9,5,0,phase,100009
ds004505,9,5,1,none,0
ds004505,9,5,1,phase,100009
ds004505,9,5,2,none,0
ds004505,9,5,2,phase,100009
ds004505,9,6,0,none,0
ds004505,9,6,0,phase,100009
ds004505,9,6,1,none,0
ds004505,9,6,1,phase,100009
ds004505,9,6,2,none,0
ds004505,9,6,2,phase,100009
ds004505,9,7,0,none,0
ds004505,9,7,0,phase,100009
ds004505,9,7,1,none,0
ds004505,9,7,1,phase,100009
ds004505,9,7,2,none,0
ds004505,9,7,2,phase,100009
ds004505,9,8,0,none,0
ds004505,9,8,0,phase,100009
ds004505,9,8,1,none,0
ds004505,9,8,1,phase,100009
ds004505,9,8,2,none,0
ds004505,9,8,2,phase,100009
ds004505,9,9,0,none,0
ds004505,9,9,0,phase,100009
ds004505,9,9,1,none,0
