dataset,subject,component,mean_rho,activation,empirical_density,fitted_density
ds004505,sub-01,7,1.4205420042984873,-2.4120625781464988,0.0217123456652434,0.019696362798628839
ds004505,sub-01,7,1.4205420042984873,-2.3494116020907456,0.021773392560272203,0.021995884004170074
ds004505,sub-01,7,1.4205420042984873,-2.2867606260349924,0.02537515936697143,0.02457936569543822
ds004505,sub-01,7,1.4205420042984873,-2.2241096499792392,0.028753087558565062,0.027478173571700744
ds004505,sub-01,7,1.4205420042984873,-2.161458673923486,0.03015716614422748,0.030726073198071427
ds004505,sub-01,7,1.4205420042984873,-2.0988076978677328,0.035061266711541125,0.034359204486084857
ds004505,sub-01,7,1.4205420042984873,-2.0361567218119796,0.039538039013653159,0.038416008249841489
ds004505,sub-01,7,1.4205420042984873,-1.9735057457562264,0.041979914814805189,0.042937096470409858
ds004505,sub-01,7,1.4205420042984873,-1.9108547697004732,0.048023557422656439,0.047965057489931601
ds004505,sub-01,7,1.4205420042984873,-1.84820379364472,0.054148595890546103,0.053544187091406112
ds004505,sub-01,7,1.4205420042984873,-1.7855528175889668,0.059480024723061346,0.059720136338069447
ds004505,sub-01,7,1.4205420042984873,-1.7229018415332136,0.065523667330912597,0.066539467186579174
ds004505,sub-01,7,1.4205420042984873,-1.6602508654774604,0.074049883669935077,0.074049107289606453
ds004505,sub-01,7,1.4205420042984873,-1.5975998894217072,0.079381312502450327,0.082295696102417007
ds004505,sub-01,7,1.4205420042984873,-1.5349489133659537,0.087866830911452989,0.091324815436184897
ds004505,sub-01,7,1.4205420042984873,-1.4722979373102003,0.098570386506503307,0.10118009898136414
ds004505,sub-01,7,1.4205420042984873,-1.4096469612544471,0.11267221925815622,0.1119022170678783
ds004505,sub-01,7,1.4205420042984873,-1.3469959851986939,0.12298914451802352,0.12352773502697874
ds004505,sub-01,7,1.4205420042984873,-1.2843450091429407,0.13137291810197879,0.13608784593782297
ds004505,sub-01,7,1.4205420042984873,-1.2216940330871875,0.14846604871004296,0.14960698120867993
ds004505,sub-01,7,1.4205420042984873,-1.1590430570314343,0.16212020423148468,0.16410130523484853
ds004505,sub-01,7,1.4205420042984873,-1.0963920809756811,0.17931507966459684,0.17957710309559738
ds004505,sub-01,7,1.4205420042984873,-1.0337411049199279,0.19469889721185457,0.19602907259524394
ds004505,sub-01,7,1.4205420042984873,-0.97109012886417467,0.21386762225089798,0.2134385334500094
ds004505,sub-01,7,1.4205420042984873,-0.90843915280842147,0.22980086185341492,0.23177156634644003
ds004505,sub-01,7,1.4205420042984873,-0.84578817675266826,0.25112657718347592,0.25097709180002503
ds004505,sub-01,7,1.4205420042984873,-0.78313720069691506,0.27485347038466973,0.27098489134578618
ds004505,sub-01,7,1.4205420042984873,-0.72048622464116185,0.30085944766693878,0.2917035583950619
ds004505,sub-01,7,1.4205420042984873,-0.65783524858540865,0.32306016849241259,0.31301833736432555
ds004505,sub-01,7,1.4205420042984873,-0.59518427252965544,0.34119109631596628,0.33478875656825824
ds004505,sub-01,7,1.4205420042984873,-0.53253329647390224,0.36080749858522088,0.35684586093433918
ds004505,sub-01,7,1.4205420042984873,-0.46988232041814904,0.38787162204798914,0.37898865703818302
ds004505,sub-01,7,1.4205420042984873,-0.40723134436239583,0.39920599555833647,0.40097898123626557
ds004505,sub-01,7,1.4205420042984873,-0.34458036830664263,0.42244451359929991,0.42253308698364878
ds004505,sub-01,7,1.4205420042984873,-0.28192939225088942,0.43180503750371602,0.44330587277520178
ds004505,sub-01,7,1.4205420042984873,-0.21927841619513622,0.45502320657966977,0.46285618685353835
ds004505,sub-01,7,1.4205420042984873,-0.15662744013938301,0.46300000086343307,0.47518792874043081
ds004505,sub-01,7,1.4205420042984873,-0.093976464083629807,0.47752916188028754,0.48184278304945022
ds004505,sub-01,7,1.4205420042984873,-0.031325488027876602,0.48367454931318687,0.48100894112791914
ds004505,sub-01,7,1.4205420042984873,0.031325488027877046,0.48084604317684559,0.4769509381768075
ds004505,sub-01,7,1.4205420042984873,0.093976464083630695,0.47319483233324278,0.47105160868270501
ds004505,sub-01,7,1.4205420042984873,0.1566274401393839,0.46629653319498832,0.46394931453649957
ds004505,sub-01,7,1.4205420042984873,0.2192784161951371,0.46845352348600594,0.45606668928186778
ds004505,sub-01,7,1.4205420042984873,0.28192939225089031,0.45176737217813373,0.4476893576700699
ds004505,sub-01,7,1.4205420042984873,0.34458036830664351,0.43715681530124079,0.4389643892326015
ds004505,sub-01,7,1.4205420042984873,0.40723134436239672,0.43038060995304395,0.42981543162137381
ds004505,sub-01,7,1.4205420042984873,0.46988232041814992,0.40301125201513172,0.41907212303682262
ds004505,sub-01,7,1.4205420042984873,0.53253329647390313,0.38532800142178913,0.39312232915633794
ds004505,sub-01,7,1.4205420042984873,0.59518427252965633,0.36109238409535527,0.366194386759776
ds004505,sub-01,7,1.4205420042984873,0.65783524858540954,0.34269691972667676,0.33958287610278692
ds004505,sub-01,7,1.4205420042984873,0.72048622464116274,0.31776943758991655,0.31373409146293318
ds004505,sub-01,7,1.4205420042984873,0.78313720069691595,0.29190590306271469,0.28889969569364643
ds004505,sub-01,7,1.4205420042984873,0.84578817675266915,0.27542324140493851,0.26523494804406056
ds004505,sub-01,7,1.4205420042984873,0.90843915280842236,0.24695503935650787,0.24283493467369294
ds004505,sub-01,7,1.4205420042984873,0.97109012886417556,0.22501885507615887,0.22175275578965614
ds004505,sub-01,7,1.4205420042984873,1.0337411049199288,0.20648094795241312,0.20201046206312967
ds004505,sub-01,7,1.4205420042984873,1.096392080975682,0.18820757737379215,0.18360645308896539
ds004505,sub-01,7,1.4205420042984873,1.1590430570314352,0.17274236396649598,0.16652089429305747
ds004505,sub-01,7,1.4205420042984873,1.2216940330871884,0.1522102582718094,0.1507198987760309
ds004505,sub-01,7,1.4205420042984873,1.2843450091429416,0.13656190417942685,0.13615886994444346
ds004505,sub-01,7,1.4205420042984873,1.3469959851986948,0.12311123830808113,0.12278523251118247
ds004505,sub-01,7,1.4205420042984873,1.409646961254448,0.11141058342756102,0.11054069217551557
ds004505,sub-01,7,1.4205420042984873,1.4722979373102012,0.096230255530399295,0.099363116218746134
ds004505,sub-01,7,1.4205420042984873,1.5349489133659544,0.088294159176655215,0.089188099454285213
ds004505,sub-01,7,1.4205420042984873,1.5975998894217076,0.079686546977594322,0.079950263223192292
ds004505,sub-01,7,1.4205420042984873,1.6602508654774608,0.068494616222314231,0.071584324644005937
ds004505,sub-01,7,1.4205420042984873,1.722901841533214,0.062267832929376571,0.064025966502878118
ds004505,sub-01,7,1.4205420042984873,1.7855528175889672,0.053660220730315691,0.05721253352941371
ds004505,sub-01,7,1.4205420042984873,1.8482037936447204,0.049041005673136448,0.051083577481978247
ds004505,sub-01,7,1.4205420042984873,1.9108547697004736,0.04326189961041,0.045581270948255162
ds004505,sub-01,7,1.4205420042984873,1.9735057457562273,0.038581637658201405,0.040650707741177711
ds004505,sub-01,7,1.4205420042984873,2.0361567218119809,0.034918823956473923,0.036240106048624765
ds004505,sub-01,7,1.4205420042984873,2.0988076978677341,0.031032171639640282,0.032300928964629244
ds004505,sub-01,7,1.4205420042984873,2.1614586739234873,0.026942029672710647,0.028787935624523711
ds004505,sub-01,7,1.4205420042984873,2.2241096499792405,0.025476904192019433,0.025659174850006787
ds004505,sub-01,7,1.4205420042984873,2.2867606260349937,0.023035028390867414,0.022875931964280206
ds004505,sub-01,7,1.4205420042984873,2.349411602090747,0.019066980213995374,0.020402638254828027
ds004505,sub-01,7,1.4205420042984873,2.4120625781465002,0.018598954018774573,0.01820675144098868
ds004505,sub-01,7,1.4205420042984873,2.4747135542022534,0.015566958232344143,0.016258614447302495
ds004505,sub-01,7,1.4205420042984873,2.5373645302580066,0.015302421687219339,0.01453129879504649
