 minimum eigenvalues =   -1.2330348555383841E-007   71889.488818632090        95464.404216036477     
 maximum eigenvalues =    447525089.89036089        193199717.73536611        133678495.32096455     
 num eigs kept =           60
 iter    67 lrate =  0.7600000000 LL =  -5.9293891687 nd =  0.0113043195, D =   0.32047E+01  0.32047E+01  (  3.67 s,   0.4 h)
 iter    68 lrate =  0.8600000000 LL =  -5.9276109064 nd =  0.0106343515, D =   0.32082E+01  0.32082E+01  (  3.68 s,   0.4 h)
 iter    69 lrate =  0.9600000000 LL =  -5.9259117991 nd =  0.0100295034, D =   0.32123E+01  0.32123E+01  (  3.68 s,   0.4 h)
 iter    70 lrate =  1.0000000000 LL =  -5.9252785569 nd =  0.0098070331, D =   0.32167E+01  0.32167E+01  (  3.67 s,   0.4 h)
 iter    71 lrate =  1.0000000000 LL =  -5.9246545728 nd =  0.0096869530, D =   0.32211E+01  0.32211E+01  (  3.69 s,   0.4 h)
 iter    72 lrate =  1.0000000000 LL =  -5.9237805228 nd =  0.0095967538, D =   0.32257E+01  0.32257E+01  (  3.67 s,   0.4 h)
 iter    73 lrate =  1.0000000000 LL =  -5.9228025902 nd =  0.0095464325, D =   0.32304E+01  0.32304E+01  (  3.68 s,   0.4 h)
 iter    74 lrate =  1.0000000000 LL =  -5.9217164580 nd =  0.0095178246, D =   0.32351E+01  0.32351E+01  (  3.67 s,   0.4 h)
 iter    75 lrate =  1.0000000000 LL =  -5.9205662893 nd =  0.0095068864, D =   0.32399E+01  0.32399E+01  (  3.68 s,   0.4 h)
 iter    76 lrate =  1.0000000000 LL =  -5.9193699837 nd =  0.0095070446, D =   0.32447E+01  0.32447E+01  (  3.68 s,   0.4 h)
 iter    77 lrate =  1.0000000000 LL =  -5.9181575620 nd =  0.0095151887, D =   0.32494E+01  0.32494E+01  (  3.68 s,   0.4 h)
 iter    78 lrate =  1.0000000000 LL =  -5.9169453576 nd =  0.0095280021, D =   0.32541E+01  0.32541E+01  (  3.69 s,   0.4 h)
 iter    79 lrate =  1.0000000000 LL =  -5.9157596525 nd =  0.0095440349, D =   0.32586E+01  0.32586E+01  (  3.67 s,   0.4 h)
 iter    80 lrate =  1.0000000000 LL =  -5.9146369511 nd =  0.0095558386, D =   0.32629E+01  0.32629E+01  (  3.67 s,   0.4 h)
 iter    81 lrate =  1.0000000000 LL =  -5.9137093002 nd =  0.0095521444, D =   0.32669E+01  0.32669E+01  (  3.66 s,   0.4 h)
 iter    82 lrate =  1.0000000000 LL =  -5.9131593671 nd =  0.0095044376, D =   0.32706E+01  0.32706E+01  (  3.67 s,   0.4 h)
 iter    83 lrate =  1.0000000000 LL =  -5.9127662320 nd =  0.0094778810, D =   0.32742E+01  0.32742E+01  (  3.67 s,   0.4 h)
 iter    84 lrate =  1.0000000000 LL =  -5.9117843730 nd =  0.0095410141, D =   0.32775E+01  0.32775E+01  (  3.68 s,   0.4 h)
 iter    85 lrate =  1.0000000000 LL =  -5.9108202552 nd =  0.0095288765, D =   0.32808E+01  0.32808E+01  (  3.68 s,   0.4 h)
 iter    86 lrate =  1.0000000000 LL =  -5.9096042019 nd =  0.0096202283, D =   0.32838E+01  0.32838E+01  (  3.67 s,   0.4 h)
 iter    87 lrate =  1.0000000000 LL =  -5.9086605170 nd =  0.0095756633, D =   0.32870E+01  0.32870E+01  (  3.68 s,   0.4 h)
 iter    88 lrate =  1.0000000000 LL =  -5.9074597356 nd =  0.0096895727, D =   0.32900E+01  0.32900E+01  (  3.68 s,   0.4 h)
 iter    89 lrate =  1.0000000000 LL =  -5.9065587314 nd =  0.0096174368, D =   0.32932E+01  0.32932E+01  (  3.68 s,   0.4 h)
 iter    90 lrate =  1.0000000000 LL =  -5.9053750163 nd =  0.0097516291, D =   0.32962E+01  0.32962E+01  (  3.68 s,   0.4 h)
 iter    91 lrate =  1.0000000000 LL =  -5.9045318948 nd =  0.0096533357, D =   0.32993E+01  0.32993E+01  (  3.68 s,   0.4 h)
 iter    92 lrate =  1.0000000000 LL =  -5.9034320457 nd =  0.0097969029, D =   0.33023E+01  0.33023E+01  (  3.68 s,   0.4 h)
 iter    93 lrate =  1.0000000000 LL =  -5.9028213909 nd =  0.0096566450, D =   0.33054E+01  0.33054E+01  (  3.68 s,   0.4 h)
 iter    94 lrate =  1.0000000000 LL =  -5.9020725683 nd =  0.0097840276, D =   0.33084E+01  0.33084E+01  (  3.69 s,   0.4 h)
 iter    95 lrate =  1.0000000000 LL =  -5.9016705533 nd =  0.0096315486, D =   0.33116E+01  0.33116E+01  (  3.68 s,   0.4 h)
 iter    96 lrate =  1.0000000000 LL =  -5.9006611291 nd =  0.0098193834, D =   0.33146E+01  0.33146E+01  (  3.68 s,   0.4 h)
 iter    97 lrate =  1.0000000000 LL =  -5.8998878088 nd =  0.0096808362, D =   0.33178E+01  0.33178E+01  (  3.68 s,   0.4 h)
 iter    98 lrate =  1.0000000000 LL =  -5.8986822675 nd =  0.0098854602, D =   0.33209E+01  0.33209E+01  (  3.69 s,   0.4 h)
 iter    99 lrate =  1.0000000000 LL =  -5.8978815506 nd =  0.0097316052, D =   0.33241E+01  0.33241E+01  (  3.68 s,   0.4 h)
 iter   100 lrate =  1.0000000000 LL =  -5.8966762982 nd =  0.0099446631, D =   0.33271E+01  0.33271E+01  (  3.67 s,   0.4 h)
 iter   101 lrate =  1.0000000000 LL =  -5.8959042455 nd =  0.0097755191, D =   0.33303E+01  0.33303E+01  (  3.68 s,   0.4 h)
 iter   102 lrate =  1.0000000000 LL =  -5.8947081849 nd =  0.0099982371, D =   0.33334E+01  0.33334E+01  (  3.68 s,   0.4 h)
 iter   103 lrate =  1.0000000000 LL =  -5.8939594161 nd =  0.0098156764, D =   0.33366E+01  0.33366E+01  (  3.68 s,   0.4 h)
 iter   104 lrate =  1.0000000000 LL =  -5.8927688791 nd =  0.0100485027, D =   0.33397E+01  0.33397E+01  (  3.68 s,   0.4 h)
 iter   105 lrate =  1.0000000000 LL =  -5.8920417664 nd =  0.0098536523, D =   0.33430E+01  0.33430E+01  (  3.68 s,   0.4 h)
 iter   106 lrate =  1.0000000000 LL =  -5.8908639304 nd =  0.0100955313, D =   0.33461E+01  0.33461E+01  (  3.68 s,   0.4 h)
